,Year,Lung
0,1999,8.9
1,2000,7.7
2,2001,8.5
3,2002,7.1
4,2003,8.4
5,2004,10.2
6,2005,9.4
7,2006,8.8
8,2007,10.0
9,2008,8.1
10,2009,8.7
11,2010,10.1
12,2011,9.3
13,2012,9.4
14,2013,9.4
15,2014,8.1
16,2015,7.9
0,2016,9.102270314065269
1,2017,5.752605758391503
2,2018,6.327790475429957
3,2019,4.689293743406983
4,2020,6.23193878665661
5,2021,5.745850106678625
6,2022,1.8828657777445037
7,2023,2.762288886674966
8,2024,1.6513149905302376
9,2025,0.6800459846474842
