,Year,Lung
0,1999,9.9
1,2000,9.7
2,2001,10.9
3,2002,10.1
4,2003,11.2
5,2004,10.6
6,2005,9.0
7,2006,10.0
8,2007,10.9
9,2008,10.0
10,2009,8.9
11,2010,9.4
12,2011,10.0
13,2012,9.8
14,2013,10.7
15,2014,13.8
16,2015,10.5
0,2016,6.735149355432049
1,2017,1.51901873330352
2,2018,20.289682632581194
3,2019,5.6505339342289425
4,2020,0.0
5,2021,29.920860334018435
6,2022,6.84265253458333
7,2023,0.0
8,2024,45.97878306685201
9,2025,38.70118447329786
