,Year,Lung
0,1999,7.7
1,2000,6.6
2,2001,6.3
3,2002,6.2
4,2003,6.5
5,2004,5.0
6,2005,5.0
7,2006,6.3
8,2007,4.5
9,2008,4.0
10,2009,5.9
11,2010,5.7
12,2011,4.5
13,2012,4.6
14,2013,4.2
15,2014,4.1
16,2015,4.5
0,2016,3.92932936842063
1,2017,0.37845850986786667
2,2018,5.67189833789301
3,2019,1.359104142919227
4,2020,0.0
5,2021,6.433026862068505
6,2022,0.0
7,2023,0.0
8,2024,11.0013207065057
9,2025,0.0
