,Year,Lung
0,1999,1.9
1,2000,1.8
2,2001,2.3
3,2002,1.7
4,2003,1.5
5,2004,1.9
6,2005,1.6
7,2006,1.8
8,2007,2.0
9,2008,1.9
10,2009,1.8
11,2010,2.0
12,2011,1.9
13,2012,1.9
14,2013,1.5
15,2014,1.5
16,2015,1.4
0,2016,1.4573908208173847
1,2017,0.49210286934271574
2,2018,0.2519493169497913
3,2019,0.14386320033426198
4,2020,0.4674915827172041
5,2021,0.6494529447004238
6,2022,0.34779340834224626
7,2023,0.12149075940350068
8,2024,0.0
9,2025,0.0
