,Year,Lung
0,1999,6.5
1,2000,5.7
2,2001,6.0
3,2002,5.5
4,2003,6.8
5,2004,6.9
6,2005,5.9
7,2006,6.0
8,2007,6.7
9,2008,6.6
10,2009,5.7
11,2010,5.8
12,2011,5.9
13,2012,4.4
14,2013,5.3
15,2014,6.0
16,2015,7.4
0,2016,5.953600580543545
1,2017,1.2462874938207111
2,2018,4.703312221889574
3,2019,4.3275844704224005
4,2020,0.2990369452627326
5,2021,2.612110128504446
6,2022,2.7432439099192
7,2023,0.0
8,2024,0.15177509042792892
9,2025,2.527771675887804
