,Year,Lung
0,1999,1.5
1,2000,1.8
2,2001,1.7
3,2002,1.7
4,2003,1.7
5,2004,1.4
6,2005,1.9
7,2006,1.5
8,2007,1.9
9,2008,1.8
10,2009,1.9
11,2010,2.0
12,2011,1.7
13,2012,1.9
14,2013,1.5
15,2014,2.0
16,2015,1.6
0,2016,2.042705700268199
1,2017,1.707226285048604
2,2018,0.22090022933200504
3,2019,1.6239634679966113
4,2020,0.0
5,2021,2.7251521478676173
6,2022,0.0
7,2023,4.694804439801501
8,2024,0.0
9,2025,10.220095820296585
