,Year,Nasal
0,1999,0.9
1,2000,1.0
2,2001,1.0
3,2002,1.1
4,2003,1.0
5,2004,0.7
6,2005,0.8
7,2006,1.0
8,2007,0.9
9,2008,1.3
10,2009,1.1
11,2010,0.8
12,2011,0.9
13,2012,1.1
14,2013,0.7
15,2014,0.9
16,2015,1.0
0,2016,0.7940435951572005
1,2017,0.5188510658670178
2,2018,1.0501678592452963
3,2019,0.308719328675473
4,2020,0.5599555318770589
5,2021,1.0181748499978744
6,2022,0.0
7,2023,0.3853342287192856
8,2024,0.6302004770212253
9,2025,0.0
