,Year,Lung
0,1999,3.0
1,2000,1.8
2,2001,1.9
3,2002,1.7
4,2003,1.7
5,2004,1.7
6,2005,1.2
7,2006,2.2
8,2007,1.8
9,2008,1.8
10,2009,1.4
11,2010,1.8
12,2011,1.9
13,2012,1.8
14,2013,1.6
15,2014,1.8
16,2015,1.8
0,2016,1.8762205516762136
1,2017,1.7742271156931282
2,2018,1.3100515067175313
3,2019,1.9058426040547283
4,2020,0.20282874545972351
5,2021,1.2160395588341197
6,2022,0.0
7,2023,1.6429105978089078
8,2024,0.0
9,2025,1.806235170018386
