,Year,Lung
0,1999,3.0
1,2000,3.4
2,2001,2.8
3,2002,3.0
4,2003,3.6
5,2004,2.9
6,2005,2.4
7,2006,2.7
8,2007,3.3
9,2008,3.2
10,2009,3.0
11,2010,4.0
12,2011,4.1
13,2012,2.7
14,2013,3.8
15,2014,3.8
16,2015,3.1
0,2016,3.359413815699129
1,2017,2.6214129286886467
2,2018,2.992379339779524
3,2019,0.5257697492240522
4,2020,1.3101873418089398
5,2021,2.146619584465044
6,2022,0.0
7,2023,0.6313613753998517
8,2024,1.8097551653497133
9,2025,0.0
