,Year,Lung
0,1999,8.7
1,2000,8.0
2,2001,7.6
3,2002,7.5
4,2003,7.7
5,2004,6.8
6,2005,6.6
7,2006,7.2
8,2007,7.0
9,2008,6.4
10,2009,7.0
11,2010,7.6
12,2011,8.2
13,2012,7.1
14,2013,7.2
15,2014,8.3
16,2015,6.6
0,2016,6.937776386657921
1,2017,4.941299234559382
2,2018,6.778130177541518
3,2019,0.0
4,2020,1.962467258901393
5,2021,1.8989989175436977
6,2022,0.0
7,2023,4.866521643682428
8,2024,0.0
9,2025,0.0
